Start,End,Reward
S_00,Goal,-1
S_00,S_00,0
S_00,S_01,0
S_00,S_02,-1
S_00,S_03,-1
S_00,S_04,-1
S_00,S_05,-1
S_00,S_06,-1
S_00,S_07,-1
S_00,S_08,-1
S_00,S_09,-1
S_00,S_10,0
S_00,S_11,-1
S_00,S_12,-1
S_00,S_13,-1
S_00,S_14,-1
S_00,S_15,-1
S_00,S_16,-1
S_00,S_17,-1
S_00,S_18,-1
S_00,S_19,-1
S_00,S_20,0
S_00,S_21,-1
S_00,S_22,-1
S_00,S_23,-1
S_00,S_24,-1
S_00,S_25,-1
S_00,S_26,-1
S_00,S_27,-1
S_00,S_28,-1
S_00,S_29,-1
S_00,S_30,0
S_00,S_31,-1
S_00,S_32,-1
S_00,S_33,-1
S_00,S_34,-1
S_00,S_35,-1
S_00,S_36,-1
S_00,S_37,-1
S_00,S_38,-1
S_00,S_39,-1
S_00,S_40,0
S_00,S_41,-1
S_00,S_42,-1
S_00,S_43,-1
S_00,S_44,-1
S_00,S_45,-1
S_00,S_46,-1
S_00,S_47,-1
S_00,S_47,-1
S_00,S_47,-1
S_00,S_47,-1
S_00,S_48,-1
S_00,S_49,-1
S_00,S_50,0
S_00,S_51,-1
S_00,S_52,-1
S_00,S_52,-1
S_00,S_53,-1
S_00,S_54,-1
S_00,S_55,-1
S_00,S_56,-1
S_00,S_57,-1
S_00,S_58,-1
S_00,S_59,-1
S_00,S_60,0
S_00,S_61,-1
S_00,S_62,-1
S_00,S_63,-1
S_00,S_64,-1
S_00,S_65,-1
S_00,S_66,-1
S_00,S_67,-1
S_00,S_68,-1
S_00,S_69,-1
S_00,S_70,0
S_00,S_71,-1
S_00,S_72,-1
S_00,S_73,-1
S_00,S_74,-1
S_00,S_75,-1
S_00,S_76,-1
S_00,S_77,-1
S_00,S_78,-1
S_00,S_79,-1
S_00,S_80,0
S_00,S_81,-1
S_00,S_82,-1
S_00,S_83,-1
S_00,S_84,-1
S_00,S_85,-1
S_00,S_86,-1
S_00,S_87,-1
S_00,S_88,-1
S_00,S_89,-1
S_00,S_90,0
S_00,S_91,-1
S_00,S_92,-1
S_00,S_93,-1
S_00,S_94,-1
S_00,S_95,-1
S_00,S_96,-1
S_00,S_97,-1
S_00,S_98,-1
S_00,S_99,-1
S_01,Goal,-1
S_01,S_00,0
S_01,S_01,0
S_01,S_02,-1
S_01,S_03,-1
S_01,S_04,-1
S_01,S_05,-1
S_01,S_06,-1
S_01,S_07,-1
S_01,S_08,-1
S_01,S_09,-1
S_01,S_10,-1
S_01,S_11,0
S_01,S_12,-1
S_01,S_13,-1
S_01,S_14,-1
S_01,S_15,-1
S_01,S_16,-1
S_01,S_17,-1
S_01,S_18,-1
S_01,S_19,-1
S_01,S_20,-1
S_01,S_21,-1
S_01,S_22,-1
S_01,S_23,-1
S_01,S_24,-1
S_01,S_25,-1
S_01,S_26,-1
S_01,S_27,-1
S_01,S_28,-1
S_01,S_29,-1
S_01,S_30,-1
S_01,S_31,-1
S_01,S_32,-1
S_01,S_32,-1
S_01,S_33,-1
S_01,S_34,-1
S_01,S_35,-1
S_01,S_36,-1
S_01,S_37,-1
S_01,S_38,-1
S_01,S_39,-1
S_01,S_40,-1
S_01,S_41,-1
S_01,S_42,-1
S_01,S_43,-1
S_01,S_44,-1
S_01,S_45,-1
S_01,S_46,-1
S_01,S_47,-1
S_01,S_48,-1
S_01,S_49,-1
S_01,S_50,-1
S_01,S_51,-1
S_01,S_52,-1
S_01,S_52,-1
S_01,S_53,-1
S_01,S_53,-1
S_01,S_54,-1
S_01,S_55,-1
S_01,S_56,-1
S_01,S_57,-1
S_01,S_58,-1
S_01,S_59,-1
S_01,S_60,-1
S_01,S_60,-1
S_01,S_61,-1
S_01,S_62,-1
S_01,S_63,-1
S_01,S_63,-1
S_01,S_64,-1
S_01,S_65,-1
S_01,S_66,-1
S_01,S_67,-1
S_01,S_68,-1
S_01,S_69,-1
S_01,S_70,-1
S_01,S_70,-1
S_01,S_71,-1
S_01,S_72,-1
S_01,S_73,-1
S_01,S_73,-1
S_01,S_74,-1
S_01,S_74,-1
S_01,S_75,-1
S_01,S_76,-1
S_01,S_77,-1
S_01,S_78,-1
S_01,S_79,-1
S_01,S_80,-1
S_01,S_81,-1
S_01,S_82,-1
S_01,S_83,-1
S_01,S_84,-1
S_01,S_84,-1
S_01,S_85,-1
S_01,S_86,-1
S_01,S_87,-1
S_01,S_88,-1
S_01,S_89,-1
S_01,S_90,-1
S_01,S_91,-1
S_01,S_92,-1
S_01,S_93,-1
S_01,S_94,-1
S_01,S_94,-1
S_01,S_95,-1
S_01,S_95,-1
S_01,S_96,-1
S_01,S_97,-1
S_01,S_98,-1
S_01,S_99,-1
S_02,Goal,-1
S_02,S_00,-1
S_02,S_01,-1
S_02,S_02,0
S_02,S_03,0
S_02,S_04,0
S_02,S_05,0
S_02,S_06,-1
S_02,S_07,-1
S_02,S_08,-1
S_02,S_09,-1
S_02,S_10,-1
S_02,S_11,-1
S_02,S_12,0
S_02,S_13,-1
S_02,S_13,-1
S_02,S_14,-1
S_02,S_14,-1
S_02,S_15,-1
S_02,S_16,-1
S_02,S_17,-1
S_02,S_18,-1
S_02,S_19,-1
S_02,S_20,-1
S_02,S_21,-1
S_02,S_22,-1
S_02,S_23,-1
S_02,S_24,-1
S_02,S_24,-1
S_02,S_25,-1
S_02,S_25,-1
S_02,S_26,-1
S_02,S_26,-1
S_02,S_27,-1
S_02,S_28,-1
S_02,S_29,-1
S_02,S_30,-1
S_02,S_31,-1
S_02,S_31,-1
S_02,S_32,-1
S_02,S_33,-1
S_02,S_34,-1
S_02,S_35,-1
S_02,S_35,-1
S_02,S_36,-1
S_02,S_36,-1
S_02,S_37,-1
S_02,S_38,-1
S_02,S_39,-1
S_02,S_40,-1
S_02,S_41,-1
S_02,S_41,-1
S_02,S_42,-1
S_02,S_43,-1
S_02,S_44,-1
S_02,S_44,-1
S_02,S_45,-1
S_02,S_45,-1
S_02,S_46,-1
S_02,S_46,-1
S_02,S_47,-1
S_02,S_47,-1
S_02,S_48,-1
S_02,S_48,-1
S_02,S_49,-1
S_02,S_49,-1
S_02,S_50,-1
S_02,S_51,-1
S_02,S_51,-1
S_02,S_52,-1
S_02,S_53,-1
S_02,S_53,-1
S_02,S_54,-1
S_02,S_55,-1
S_02,S_55,-1
S_02,S_56,-1
S_02,S_56,-1
S_02,S_57,-1
S_02,S_57,-1
S_02,S_58,-1
S_02,S_58,-1
S_02,S_59,-1
S_02,S_59,-1
S_02,S_60,-1
S_02,S_60,-1
S_02,S_61,-1
S_02,S_61,-1
S_02,S_62,-1
S_02,S_63,-1
S_02,S_63,-1
S_02,S_64,-1
S_02,S_65,-1
S_02,S_66,-1
S_02,S_67,-1
S_02,S_67,-1
S_02,S_68,-1
S_02,S_68,-1
S_02,S_69,-1
S_02,S_69,-1
S_02,S_70,-1
S_02,S_70,-1
S_02,S_71,-1
S_02,S_72,-1
S_02,S_73,-1
S_02,S_74,-1
S_02,S_75,-1
S_02,S_76,-1
S_02,S_76,-1
S_02,S_77,-1
S_02,S_78,-1
S_02,S_78,-1
S_02,S_79,-1
S_02,S_79,-1
S_02,S_80,-1
S_02,S_80,-1
S_02,S_81,-1
S_02,S_82,-1
S_02,S_83,-1
S_02,S_84,-1
S_02,S_85,-1
S_02,S_86,-1
S_02,S_86,-1
S_02,S_87,-1
S_02,S_88,-1
S_02,S_88,-1
S_02,S_89,-1
S_02,S_89,-1
S_02,S_90,-1
S_02,S_90,-1
S_02,S_91,-1
S_02,S_92,-1
S_02,S_93,-1
S_02,S_94,-1
S_02,S_94,-1
S_02,S_95,-1
S_02,S_96,-1
S_02,S_96,-1
S_02,S_97,-1
S_02,S_98,-1
S_02,S_99,-1
S_02,S_99,-1
S_03,Goal,-1
S_03,S_00,-1
S_03,S_01,-1
S_03,S_02,0
S_03,S_03,0
S_03,S_04,0
S_03,S_05,0
S_03,S_06,-1
S_03,S_07,-1
S_03,S_08,-1
S_03,S_09,-1
S_03,S_10,-1
S_03,S_11,-1
S_03,S_11,-1
S_03,S_12,-1
S_03,S_12,-1
S_03,S_13,-1
S_03,S_14,-1
S_03,S_15,-1
S_03,S_16,-1
S_03,S_17,-1
S_03,S_18,-1
S_03,S_19,-1
S_03,S_19,-1
S_03,S_20,-1
S_03,S_20,-1
S_03,S_21,-1
S_03,S_21,-1
S_03,S_22,-1
S_03,S_22,-1
S_03,S_23,-1
S_03,S_24,-1
S_03,S_25,-1
S_03,S_25,-1
S_03,S_26,-1
S_03,S_27,-1
S_03,S_28,-1
S_03,S_29,-1
S_03,S_30,-1
S_03,S_30,-1
S_03,S_31,-1
S_03,S_31,-1
S_03,S_32,-1
S_03,S_33,-1
S_03,S_34,-1
S_03,S_35,-1
S_03,S_35,-1
S_03,S_36,-1
S_03,S_36,-1
S_03,S_37,-1
S_03,S_37,-1
S_03,S_38,-1
S_03,S_39,-1
S_03,S_40,-1
S_03,S_40,-1
S_03,S_41,-1
S_03,S_41,-1
S_03,S_42,-1
S_03,S_43,-1
S_03,S_44,-1
S_03,S_45,-1
S_03,S_46,-1
S_03,S_46,-1
S_03,S_47,-1
S_03,S_47,-1
S_03,S_48,-1
S_03,S_48,-1
S_03,S_49,-1
S_03,S_49,-1
S_03,S_50,-1
S_03,S_50,-1
S_03,S_51,-1
S_03,S_52,-1
S_03,S_53,-1
S_03,S_54,-1
S_03,S_55,-1
S_03,S_56,-1
S_03,S_57,-1
S_03,S_57,-1
S_03,S_58,-1
S_03,S_58,-1
S_03,S_59,-1
S_03,S_59,-1
S_03,S_60,-1
S_03,S_60,-1
S_03,S_61,-1
S_03,S_62,-1
S_03,S_63,-1
S_03,S_64,-1
S_03,S_65,-1
S_03,S_66,-1
S_03,S_67,-1
S_03,S_67,-1
S_03,S_68,-1
S_03,S_68,-1
S_03,S_69,-1
S_03,S_69,-1
S_03,S_70,-1
S_03,S_71,-1
S_03,S_72,-1
S_03,S_73,-1
S_03,S_74,-1
S_03,S_75,-1
S_03,S_76,-1
S_03,S_77,-1
S_03,S_78,-1
S_03,S_78,-1
S_03,S_79,-1
S_03,S_79,-1
S_03,S_80,-1
S_03,S_81,-1
S_03,S_82,-1
S_03,S_83,-1
S_03,S_84,-1
S_03,S_85,-1
S_03,S_86,-1
S_03,S_87,-1
S_03,S_88,-1
S_03,S_89,-1
S_03,S_89,-1
S_03,S_90,-1
S_03,S_91,-1
S_03,S_92,-1
S_03,S_93,-1
S_03,S_94,-1
S_03,S_95,-1
S_03,S_96,-1
S_03,S_97,-1
S_03,S_98,-1
S_03,S_99,-1
S_03,S_99,-1
S_04,Goal,-1
S_04,S_00,-1
S_04,S_01,-1
S_04,S_02,0
S_04,S_03,0
S_04,S_04,0
S_04,S_05,0
S_04,S_06,-1
S_04,S_07,-1
S_04,S_08,-1
S_04,S_09,-1
S_04,S_10,-1
S_04,S_11,-1
S_04,S_12,-1
S_04,S_13,-1
S_04,S_14,-1
S_04,S_15,-1
S_04,S_15,-1
S_04,S_16,-1
S_04,S_17,-1
S_04,S_18,-1
S_04,S_19,-1
S_04,S_19,-1
S_04,S_20,-1
S_04,S_21,-1
S_04,S_22,-1
S_04,S_22,-1
S_04,S_23,-1
S_04,S_24,-1
S_04,S_25,-1
S_04,S_26,-1
S_04,S_26,-1
S_04,S_27,-1
S_04,S_28,-1
S_04,S_29,-1
S_04,S_30,-1
S_04,S_31,-1
S_04,S_32,-1
S_04,S_33,-1
S_04,S_34,-1
S_04,S_35,-1
S_04,S_36,-1
S_04,S_37,-1
S_04,S_38,-1
S_04,S_39,-1
S_04,S_40,-1
S_04,S_40,-1
S_04,S_41,-1
S_04,S_42,-1
S_04,S_43,-1
S_04,S_44,-1
S_04,S_45,-1
S_04,S_46,-1
S_04,S_47,-1
S_04,S_48,-1
S_04,S_48,-1
S_04,S_49,-1
S_04,S_49,-1
S_04,S_50,-1
S_04,S_50,-1
S_04,S_51,-1
S_04,S_51,-1
S_04,S_52,-1
S_04,S_53,-1
S_04,S_54,-1
S_04,S_55,-1
S_04,S_56,-1
S_04,S_57,-1
S_04,S_58,-1
S_04,S_59,-1
S_04,S_59,-1
S_04,S_60,-1
S_04,S_61,-1
